B5 Batch 2 Golden Test Results
==============================

Total dates: 84

2026-04-25 | consolidation | 
2026-04-28 | consolidation | 
2026-05-01 | consolidation | 
2026-05-03 | consolidation | 
2026-05-05 | consolidation | B1:MA5=39415 MA20=0|B2:F5D=-0 F10D=0 ConB=0 ConS=0 FutP=0 FutD=0 MPk=0 MC5=0.00
2026-05-06 | consolidation | B1:MA5=39857 MA20=0|B2:F5D=-1 F10D=0 ConB=0 ConS=0 FutP=0 FutD=0 MPk=0 MC5=0.00
2026-05-10 | consolidation | B1:MA5=40273 MA20=0|B2:F5D=-1 F10D=0 ConB=0 ConS=0 FutP=0 FutD=0 MPk=0 MC5=0.00
2026-05-11 | consolidation | B1:MA5=40846 MA20=0|B2:F5D=1 F10D=0 ConB=0 ConS=0 FutP=0 FutD=0 MPk=0 MC5=0.00
2026-05-12 | consolidation | B1:MA5=41440 MA20=0|B2:F5D=0 F10D=0 ConB=0 ConS=0 FutP=0 FutD=0 MPk=0 MC5=0.00
2026-05-13 | consolidation | B1:MA5=41561 MA20=0|B2:F5D=-3 F10D=-1 ConB=0 ConS=2 FutP=0 FutD=0 MPk=0 MC5=0.00
2026-05-14 | consolidation | B1:MA5=41684 MA20=0|B2:F5D=-3 F10D=-2 ConB=0 ConS=3 FutP=0 FutD=0 MPk=0 MC5=0.00
2026-05-15 | consolidation | B1:MA5=41597 MA20=0|B2:F5D=-4 F10D=-2 ConB=0 ConS=4 FutP=0 FutD=0 MPk=0 MC5=0.00
2026-05-17 | consolidation | B1:MA5=41474 MA20=0|B2:F5D=-5 F10D=-2 ConB=0 ConS=5 FutP=0 FutD=0 MPk=0 MC5=0.00
2026-05-18 | consolidation | B1:MA5=41273 MA20=0|B2:F5D=-5 F10D=-2 ConB=0 ConS=6 FutP=0 FutD=0 MPk=0 MC5=0.00
2026-05-19 | consolidation | B1:MA5=41033 MA20=0|B2:F5D=-4 F10D=-3 ConB=0 ConS=7 FutP=0 FutD=0 MPk=0 MC5=0.00
2026-05-20 | consolidation | B1:MA5=40687 MA20=0|B2:F5D=-4 F10D=-3 ConB=0 ConS=8 FutP=0 FutD=0 MPk=0 MC5=0.00
2026-05-21 | consolidation | B1:MA5=40726 MA20=0|B2:F5D=-1 F10D=-2 ConB=1 ConS=0 FutP=0 FutD=0 MPk=0 MC5=0.00
2026-05-22 | consolidation | B1:MA5=40945 MA20=0|B2:F5D=2 F10D=-1 ConB=2 ConS=0 FutP=0 FutD=0 MPk=0 MC5=0.00
2026-05-23 | turnaround_up | B1:MA5=41220 MA20=0|B2:F5D=5 F10D=-0 ConB=3 ConS=0 FutP=0 FutD=0 MPk=0 MC5=0.00
2026-05-24 | consolidation | B1:MA5=41639 MA20=40912|B2:F5D=8 F10D=2 ConB=4 ConS=0 FutP=0 FutD=0 MPk=0 MC5=0.00
