Date,Code,Name,TradeVolume,Open,High,Low,Close
2026-03-26,0050,元大台灣50,30045678,191.2,192,190.8,191.5
2026-03-26,2330,台積電,35001234,804,809,798,802
2026-03-26,2317,鴻海,41002345,160.5,162,159,161
2026-03-26,2382,廣達,28003456,268,272,266,270
2026-03-26,2603,長榮,19567890,205,207.5,202,203
2026-03-27,2603,長榮,18804567,201.5,203,198,199
2026-03-27,0050,元大台灣50,31501234,192,193.2,191.6,192.8
2026-03-27,2330,台積電,36004567,806,814,804,811
2026-03-27,2317,鴻海,42506789,160.5,161.5,158.5,159
2026-03-27,2382,廣達,29507890,271,279,270,278
