Date,Code,Name,TradeVolume,Open,High,Low,Close
2026-03-25,2330,台積電,34625,147.2037,149.15536,143.12051,147.21819
2026-03-25,2317,鴻海,22916,150.17027,153.27529,147.24641,152.14971
2026-03-25,2454,聯發科,21721,210.5590,212.1250,210.12704,211.22599
2026-03-25,2412,中華電,17375,132.31977,135.30673,131.31162,134.12825
2026-03-25,2881,富邦金,40075,458.4390,461.14630,455.28376,455.9190
2026-03-26,2330,台積電,20171,463.2529,464.5624,461.25158,461.30600
2026-03-26,2317,鴻海,39462,408.32146,409.7526,407.32645,407.1419
2026-03-26,2454,聯發科,18854,313.23781,317.17926,313.29715,316.21413
2026-03-26,2412,中華電,11319,385.27460,388.13424,385.30293,388.12799
2026-03-26,2881,富邦金,11329,306.591,308.12013,304.8643,306.15641
2026-03-27,2330,台積電,15393,205.9620,206.1841,202.31848,205.5366
2026-03-27,2317,鴻海,38358,388.16736,391.17831,387.9559,389.15054
2026-03-27,2454,聯發科,15095,157.21363,158.23222,155.5533,155.3442
2026-03-27,2412,中華電,26316,534.7695,535.14608,531.29918,531.31026
2026-03-27,2881,富邦金,28448,458.21906,460.12515,455.14492,455.21211
2026-03-30,2330,台積電,37164,239.26262,239.24196,236.2268,236.11822
2026-03-30,2317,鴻海,36521,518.28244,518.12272,518.9890,518.32474
2026-03-30,2454,聯發科,31713,524.14524,524.6967,524.16507,524.10211
2026-03-30,2412,中華電,25191,320.32633,321.19624,320.12047,321.30713
2026-03-30,2881,富邦金,38066,356.10978,359.1623,353.28531,358.8746
2026-03-31,2330,台積電,28115,404.27014,404.21343,403.19120,404.14587
2026-03-31,2317,鴻海,27904,111.1230,111.16354,110.25018,111.16073
2026-03-31,2454,聯發科,22436,155.22773,155.11190,151.15052,155.12539
2026-03-31,2412,中華電,32063,458.13370,462.14407,457.24810,457.15477
2026-03-31,2881,富邦金,36652,290.3361,291.29457,289.6128,291.14406
