Date,Code,Name,TradeVolume,TradeValue,Open,High,Low,Close,Change,Transaction
2026-03-26,2330,台積電,35001234,28201234567,804,809,798,802,-3,21045
2026-03-26,2317,鴻海,41002345,6578123456,160.5,162,159,161,0.5,18032
2026-03-26,2382,廣達,28003456,7545123456,268,272,266,270,2,15423
2026-03-26,2603,長榮,19567890,3912345678,205,207.5,202,203,-2,12109
2026-03-26,0050,元大台灣50,30045678,5798123456,191.2,192,190.8,191.5,0.1,16555
2026-03-27,2330,台積電,36004567,29041234567,806,814,804,811,9,22012
2026-03-27,2317,鴻海,42506789,6765123456,160.5,161.5,158.5,159,-2,18456
2026-03-27,2382,廣達,29507890,7812123456,271,279,270,278,8,16234
2026-03-27,2603,長榮,18804567,3723123456,201.5,203,198,199,-4,11878
2026-03-27,0050,元大台灣50,31501234,6101123456,192,193.2,191.6,192.8,1.3,17023
